Summary_file = referenc.sum
Title = 
      year       day             no3(1)             no3(2)             no3(3)          sw_dep(1)          sw_dep(2)          sw_dep(3)       tt_tot()            lai        biomass avg@mungbean_swdef_photo avg@mungbean_nfact_photo   plant_status      dm_dead()          yield     residue_wt      residue_n        fom_c()        fom_n()        node_no        leaf_no    dlt_leaf_no    dlt_node_no             rlv(1)             rlv(2)             rlv(3)  root_length()    dm_green(1)         height sum@mungbean_dlt_n_fixed_pot sum@mungbean_dlt_n_fixed sum@mungbean_n_supply_soil    n_conc_crit       n_demand    n_conc_crit        root_wt         root_n     root_depth
    (year)     (day)            (kg/ha)            (kg/ha)            (kg/ha)               (mm)               (mm)               (mm)           (dd)      (m^2/m^2)        (kg/ha)                      (?)                      (?)             ()        (g/m^2)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)             ()             ()             ()             ()          (mm/mm^3)          (mm/mm^3)          (mm/mm^3)      (mm/mm^2)        (g/m^2)           (mm)                          (?)                      (?)                        (?)            (%)        (g/m^2)            (%)        (g/m^2)        (g/m^2)           (mm)
      1993       315             24.368             20.385              0.414             31.409             79.391             80.000          0.000          0.000          0.000                    0.000                    0.000            out          0.000          0.000          1.025          0.012         36.818          1.316          0.000          0.000          0.000          0.000              0.000              0.000              0.000          0.000          0.000          0.000                        0.000                    0.000                      0.000          0.000          0.000          0.000          0.000          0.000          0.000
      1993       322             26.296             21.483              0.429             31.116             79.400             80.000          0.000          0.000          0.000                    0.000                    0.000            out          0.000          0.000          0.586          0.007         34.705          1.240          0.000          0.000          0.000          0.000              0.000              0.000              0.000          0.000          0.000          0.000                        0.000                    0.000                      0.000          0.000          0.000          0.000          0.000          0.000          0.000
      1993       329             28.742             22.747              0.446             29.637             79.363             80.000          0.000          0.000          0.000                    0.000                    0.000            out          0.000          0.000          0.344          0.004         32.463          1.159          0.000          0.000          0.000          0.000              0.000              0.000              0.000          0.000          0.000          0.000                        0.000                    0.000                      0.000          0.000          0.000          0.000          0.000          0.000          0.000
      1993       336             30.984             24.200              0.464             27.333             79.361             80.000          0.000          0.000          0.000                    0.000                    0.000            out          0.000          0.000          0.199          0.002         30.457          1.087          0.000          0.000          0.000          0.000              0.000              0.000              0.000          0.000          0.000          0.000                        0.000                    0.000                      0.000          0.000          0.000          0.000          0.000          0.000          0.000
      1993       343             33.255             25.593              0.482             31.633             79.326             80.000          0.000          0.000          0.000                    0.000                    0.000            out          0.000          0.000          0.114          0.001         28.471          1.016          0.000          0.000          0.000          0.000              0.000              0.000              0.000          0.000          0.000          0.000                        0.000                    0.000                      0.000          0.000          0.000          0.000          0.000          0.000          0.000
      1993       350             34.352             26.973              0.495             35.548             79.574             80.000          0.000          0.000          0.000                    0.000                    0.000            out          0.000          0.000          0.000          0.000         27.252          0.972          0.000          0.000          0.000          0.000              0.000              0.000              0.000          0.000          0.000          0.000                        0.000                    0.000                      0.000          0.000          0.000          0.000          0.000          0.000          0.000
      1993       357             36.387             28.269              0.511             29.657             79.389             80.000          0.000          0.000          0.000                    0.000                    0.000            out          0.000          0.000          0.000          0.000         25.753          0.918          0.000          0.000          0.000          0.000              0.000              0.000              0.000          0.000          0.000          0.000                        0.000                    0.000                      0.000          0.000          0.000          0.000          0.000          0.000          0.000
      1993       364             37.976             29.876              0.527             33.126             79.530             80.000          0.000          0.000          0.000                    0.000                    0.000            out          0.000          0.000          0.000          0.000         24.377          0.869          0.000          0.000          0.000          0.000              0.000              0.000              0.000          0.000          0.000          0.000                        0.000                    0.000                      0.000          0.000          0.000          0.000          0.000          0.000          0.000
      1994         6             40.007             31.808              0.547             29.381             79.619             80.000          0.000          0.000          0.000                    0.000                    0.000            out          0.000          0.000          0.000          0.000         22.848          0.814          0.000          0.000          0.000          0.000              0.000              0.000              0.000          0.000          0.000          0.000                        0.000                    0.000                      0.000          0.000          0.000          0.000          0.000          0.000          0.000
      1994        13             42.160             33.541              0.566             32.597             79.532             80.000          0.000          0.000          0.000                    0.000                    0.000            out          0.000          0.000          0.000          0.000         21.383          0.762          0.000          0.000          0.000          0.000              0.000              0.000              0.000          0.000          0.000          0.000                        0.000                    0.000                      0.000          0.000          0.000          0.000          0.000          0.000          0.000
      1994        20             43.992             35.083              0.583             29.870             79.385             80.000          0.000          0.000          0.000                    0.000                    0.000            out          0.000          0.000          0.000          0.000         20.174          0.719          0.000          0.000          0.000          0.000              0.000              0.000              0.000          0.000          0.000          0.000                        0.000                    0.000                      0.000          0.000          0.000          0.000          0.000          0.000          0.000
      1994        27             45.462             36.980              0.600             34.205             79.538             80.000          0.000          0.000          0.000                    0.000                    0.000            out          0.000          0.000          0.000          0.000         19.029          0.678          0.000          0.000          0.000          0.000              0.000              0.000              0.000          0.000          0.000          0.000                        0.000                    0.000                      0.000          0.000          0.000          0.000          0.000          0.000          0.000
      1994        30              1.000              1.000              1.000             30.000             60.000             40.000          0.000          0.000          0.000                    0.000                    0.000          alive          0.000          0.000          0.000          0.000         18.740          0.668          0.000          0.000          0.000          0.000              0.000              0.000              0.000          0.000          0.000          0.000                        0.000                    0.000                      0.000          0.000          0.000          0.000          0.000          0.000          0.000
      1994        37              2.989              2.580              2.258             35.357             79.221             61.448        125.252          0.008         21.978                    0.750                    0.625          alive          0.000          0.000          0.000          0.000         18.092          0.640          2.052          2.052          0.019          0.019              0.001              0.000              0.000          0.246          4.097          0.675                        0.031                    0.008                      0.001          5.662          0.003          5.662          4.097          0.062        250.000
      1994        44              5.198              3.494              2.425             33.571             77.268             62.528        242.134          0.030         32.610                    1.000                    1.000          alive          0.000          0.000          0.000          0.000         17.578          0.615          2.331          2.331          0.066          0.066              0.001              0.000              0.000          0.300          5.000          5.393                        0.057                    0.049                      0.006          5.054          0.014          5.054          5.000          0.075        460.000
      1994        51              6.906              4.126              2.495             32.141             75.173             63.399        355.379          0.089         60.502                    1.000                    1.000          alive          0.000          0.000          0.000          0.000         17.261          0.595          3.063          3.063          0.132          0.132              0.002              0.000              0.000          0.454          7.561         18.922                        0.102                    0.095                      0.051          4.465          0.026          4.465          7.561          0.113        640.000
      1994        58              6.928              3.692              2.412             29.987             71.539             63.883        463.139          0.329        176.976                    1.000                    1.000          alive          0.000          0.000          0.000          0.000         17.624          0.591          4.141          5.672          0.506          0.170              0.004              0.001              0.000          1.125         18.756         70.185                        0.243                    0.243                      0.306          3.904          0.176          3.904         18.756          0.265        745.000
      1994        65              7.242              3.625              2.253             28.182             68.624             63.961        567.339          0.662        344.647                    1.000                    1.000          alive          0.000          0.000          0.000          0.000         19.473          0.619          5.183          8.868          0.665          0.166              0.008              0.001              0.000          2.078         34.630        149.517                        0.521                    0.512                      0.210          3.361          0.242          3.361         34.630          0.499        850.000
      1994        72              6.210              2.738              1.629             25.146             62.641             62.640        670.389          1.090        706.441                    0.907                    1.000          alive          0.000          0.000          0.000          0.000         23.593          0.694          6.213         12.992          0.554          0.127              0.013              0.001              0.000          3.080         51.341        310.597                        0.702                    0.671                      0.451          2.943          0.297          2.943         51.341          0.758        965.000
      1994        79              2.409              2.778              0.773             40.990             81.422             65.695        750.989          1.383       1120.740                    0.750                    1.000          alive          0.000          0.000          0.000          0.000         28.973          0.796          7.019         16.575          0.526          0.114              0.016              0.001              0.000          3.779         62.978        511.229                        0.602                    0.602                      0.617          2.809          0.252          2.809         62.978          0.937       1000.000
      1994        86              1.171              0.697              0.190             26.428             69.303             64.502        838.889          2.181       1763.305                    0.929                    1.000          alive          0.000          0.000          0.000          0.000         34.241          0.893          7.898         20.725          0.571          0.123              0.020              0.002              0.000          4.895         81.587        800.000                        1.007                    1.007                      0.579          2.662          0.543          2.662         81.587          1.170       1000.000
      1994        93              1.128              0.488              0.049             21.952             60.060             61.428        928.339          2.122       2241.232                    0.636                    0.930          alive          0.000        266.707          0.000          0.000         42.513          1.054          8.432         21.986          0.000          0.000              0.021              0.002              0.000          4.970         82.841        800.000                        0.401                    0.401                      0.187          2.513          1.181          2.513         82.841          1.190       1000.000
      1994       100              0.473              0.446              0.039             35.031             76.963             65.790       1017.989          1.947       2677.261                    0.878                    0.709          alive          0.000        637.188          0.000          0.000         46.945          1.136          8.496         22.050          0.000          0.000              0.021              0.002              0.000          5.022         83.705        800.000                        0.459                    0.459                      0.222          2.364          1.675          2.364         83.705          1.197       1000.000
      1994       107              0.615              0.316              0.012             26.871             72.094             65.425       1080.457          0.630       2891.399                    1.000                    0.665          alive          0.000       1032.229          0.000          0.000         51.249          1.216          8.496         22.050          0.000          0.000              0.020              0.002              0.000          4.958         82.641        800.000                        0.484                    0.484                      0.160          2.260          1.220          2.260         82.641          1.199       1000.000
      1994       114              0.745              0.344              0.006             24.256             69.035             65.138       1159.607          0.700       3003.913                    1.000                    0.474          alive          0.000       1201.565          0.000          0.000         57.031          1.327          8.701         22.254          0.061          0.061              0.020              0.002              0.000          4.845         80.753        800.000                        0.468                    0.468                      0.125          2.128          0.686          2.128         80.753          1.196       1000.000
      1994       121              0.762              0.364              0.005             22.306             65.556             64.341       1239.807          0.798       3170.904                    1.000                    0.611          alive          0.000       1264.273          0.000          0.000         63.941          1.463          8.967         22.521          0.000          0.000              0.020              0.002              0.000          4.731         78.844        800.000                        0.282                    0.282                      0.105          0.000          0.508          0.000         78.844          1.183       1000.000
      1994       122              0.796              0.454              0.005             22.126             65.483             64.362       1251.107          0.004          0.000                    1.000                    0.000          alive          0.000          0.000       1906.631         26.176         65.028          1.484          2.000          2.000          0.000          0.000              0.019              0.002              0.000          4.707         70.605          1.000                        0.000                    0.000                      0.000          0.000          0.000          0.000         70.605          1.117       1000.000
      1994       123              0.826              0.543              0.006             21.951             65.410             64.384          0.000          0.000          0.000                    1.000                    0.000            out          0.000          0.000       1906.631         26.176        346.970         12.648          0.000          0.000          0.000          0.000              0.000              0.000              0.000          0.000          0.000          0.000                        0.000                    0.000                      0.000          0.000          0.000          0.000          0.000          0.000          0.000
      1994       130              0.930              1.107              0.002             20.858             64.920             64.519          0.000          0.000          0.000                    0.000                    0.000            out          0.000          0.000       1906.631         26.176        326.474         11.883          0.000          0.000          0.000          0.000              0.000              0.000              0.000          0.000          0.000          0.000                        0.000                    0.000                      0.000          0.000          0.000          0.000          0.000          0.000          0.000
      1994       137              0.956              1.618              0.002             19.931             64.465             64.631          0.000          0.000          0.000                    0.000                    0.000            out          0.000          0.000       1906.631         26.176        317.046         11.531          0.000          0.000          0.000          0.000              0.000              0.000              0.000          0.000          0.000          0.000                        0.000                    0.000                      0.000          0.000          0.000          0.000          0.000          0.000          0.000
      1994       144              0.965              2.148              0.004             19.133             64.026             64.723          0.000          0.000          0.000                    0.000                    0.000            out          0.000          0.000       1906.631         26.176        311.258         11.316          0.000          0.000          0.000          0.000              0.000              0.000              0.000          0.000          0.000          0.000                        0.000                    0.000                      0.000          0.000          0.000          0.000          0.000          0.000          0.000
